"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 11 21:14:43 UTC 2024","Thu Jul 11 21:14:46 UTC 2024","2792","Windows crossBrowser Test Suite","FirefoxTestWindows","com.lumatest.test.ProductPageTest","com.lumatest.test.ProductPageTest","testProductDescription","TC-PROD-005 Verify Product Description on Product Page","Ensure that the product description is displayed correctly and matches the listed one."
"passed","Thu Jul 11 21:10:44 UTC 2024","Thu Jul 11 21:10:45 UTC 2024","770","Regression","Regression Test Run","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testFooterNavigation","TC-01.09: Verify Footer Links Navigation","Ensure that clicking on the links in the footer redirects the user to the correct pages."
"passed","Thu Jul 11 21:13:22 UTC 2024","Thu Jul 11 21:13:24 UTC 2024","2079","Windows crossBrowser Test Suite","EdgeTestWindows","com.lumatest.test.ProductPageTest","com.lumatest.test.ProductPageTest","testProductSKU","TC-PROD-009 Verify SKU/ID Display","Ensure that the product SKU or ID is displayed correctly."
"passed","Thu Jul 11 21:10:24 UTC 2024","Thu Jul 11 21:10:24 UTC 2024","1","Smoke","Smoke Test Run","FrameworkTest","FrameworkTest","testPass","TC-00.00 AssertTrue = true","TC-00.00 AssertTrue = true"
"passed","Thu Jul 11 21:13:32 UTC 2024","Thu Jul 11 21:13:36 UTC 2024","3602","Windows crossBrowser Test Suite","EdgeTestWindows","com.lumatest.test.CartTest","com.lumatest.test.CartTest","testNavToCart","TC-02.01: Verify Navigation to Cart","Ensure that clicking on the View Cart link redirects the user to the shopping cart page."
"passed","Thu Jul 11 21:14:50 UTC 2024","Thu Jul 11 21:14:54 UTC 2024","3206","Windows crossBrowser Test Suite","FirefoxTestWindows","com.lumatest.test.ProductPageTest","com.lumatest.test.ProductPageTest","testProductInStock","TC-PROD-006 Verify Stock Availability on Product Page","Ensure that the stock availability is displayed correctly on the product page."
"passed","Thu Jul 11 21:10:49 UTC 2024","Thu Jul 11 21:10:51 UTC 2024","1689","Regression","Regression Test Run","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavToHomePage","TC-01.01 Open Home page by logo click","Ensure that clicking on the website logo navigates the user to the homepage."
"passed","Thu Jul 11 21:12:45 UTC 2024","Thu Jul 11 21:12:48 UTC 2024","3395","Windows crossBrowser Test Suite","EdgeTestWindows","com.lumatest.test.ProductPageTest","com.lumatest.test.ProductPageTest","testAddToCompareMessage","TC-PROD-011 Verify add to compare message displays after click Add to Compare button","Verify add to compare message displays after click Add to Compare button"
"passed","Thu Jul 11 21:16:07 UTC 2024","Thu Jul 11 21:16:08 UTC 2024","767","Windows crossBrowser Test Suite","FirefoxTestWindows","com.lumatest.test.LoginTest","com.lumatest.test.LoginTest","testNavToLoginPage","TC-03.03: Verify Navigation to Customer Login page after click on Sign In link","Ensure that Login page opens after clicking on the Sign In button on top of the page."
"passed","Thu Jul 11 21:10:22 UTC 2024","Thu Jul 11 21:10:23 UTC 2024","617","Smoke","Smoke Test Run","FrameworkTest","FrameworkTest","testGoogle","TC-00.01 Open Google.com","TC-00.01 Open Google.com"
